Reading data .................
Total tokens: 17005207
Vocabulary size: 71290
0.00 loss = 5.983, wps = 14198
0.10 loss = 3.751, wps = 44509
0.20 loss = 3.253, wps = 44563
0.30 loss = 3.028, wps = 44441
0.40 loss = 2.907, wps = 44327
0.50 loss = 2.822, wps = 44648
0.60 loss = 2.762, wps = 45380
0.70 loss = 2.716, wps = 44642
0.80 loss = 2.678, wps = 45349
0.90 loss = 2.651, wps = 44730
Epoch: 1, Loss = 2.626, 
0.00 loss = 2.415, wps = 26412
0.10 loss = 2.379, wps = 44772
0.20 loss = 2.368, wps = 44486
0.30 loss = 2.354, wps = 44963
0.40 loss = 2.352, wps = 47629
0.50 loss = 2.348, wps = 48008
0.60 loss = 2.345, wps = 48090
0.70 loss = 2.343, wps = 44522
0.80 loss = 2.339, wps = 44361
0.90 loss = 2.340, wps = 44440
Epoch: 2, Loss = 2.338, 
0.00 loss = 2.331, wps = 34887
0.10 loss = 2.315, wps = 44753
0.20 loss = 2.311, wps = 44133
0.30 loss = 2.301, wps = 44713
0.40 loss = 2.301, wps = 47218
0.50 loss = 2.299, wps = 44955
0.60 loss = 2.298, wps = 44569
0.70 loss = 2.298, wps = 43998
0.80 loss = 2.295, wps = 44606
0.90 loss = 2.297, wps = 44791
Epoch: 3, Loss = 2.295, 
0.00 loss = 2.291, wps = 34850
0.10 loss = 2.286, wps = 44262
0.20 loss = 2.283, wps = 44256
0.30 loss = 2.274, wps = 44713
0.40 loss = 2.275, wps = 44233
0.50 loss = 2.274, wps = 46055
0.60 loss = 2.274, wps = 44453
0.70 loss = 2.273, wps = 44368
0.80 loss = 2.271, wps = 44645
0.90 loss = 2.273, wps = 44004
Epoch: 4, Loss = 2.272, 
0.00 loss = 2.272, wps = 38800
0.10 loss = 2.267, wps = 44516
0.20 loss = 2.265, wps = 44681
0.30 loss = 2.257, wps = 44241
0.40 loss = 2.258, wps = 44325
0.50 loss = 2.258, wps = 44592
0.60 loss = 2.257, wps = 44067
0.70 loss = 2.257, wps = 44126
0.80 loss = 2.255, wps = 44494
0.90 loss = 2.257, wps = 44734
Epoch: 5, Loss = 2.256, 
0.00 loss = 2.256, wps = 41972
0.10 loss = 2.255, wps = 44494
0.20 loss = 2.253, wps = 44660
0.30 loss = 2.244, wps = 44448
0.40 loss = 2.246, wps = 44142
0.50 loss = 2.246, wps = 44603
0.60 loss = 2.246, wps = 44372
0.70 loss = 2.246, wps = 44965
0.80 loss = 2.244, wps = 44609
0.90 loss = 2.245, wps = 44630
Epoch: 6, Loss = 2.245, 
0.00 loss = 2.244, wps = 35286
0.10 loss = 2.244, wps = 44588
0.20 loss = 2.243, wps = 44521
0.30 loss = 2.235, wps = 44360
0.40 loss = 2.237, wps = 44490
0.50 loss = 2.237, wps = 44539
0.60 loss = 2.237, wps = 47294
0.70 loss = 2.237, wps = 48118
0.80 loss = 2.235, wps = 47051
0.90 loss = 2.237, wps = 44444
Epoch: 7, Loss = 2.236, 
0.00 loss = 2.242, wps = 43163
0.10 loss = 2.238, wps = 44293
0.20 loss = 2.236, wps = 44691
0.30 loss = 2.229, wps = 44576
0.40 loss = 2.231, wps = 44651
0.50 loss = 2.230, wps = 44138
0.60 loss = 2.230, wps = 44975
0.70 loss = 2.230, wps = 44845
0.80 loss = 2.229, wps = 44328
0.90 loss = 2.230, wps = 44498
Epoch: 8, Loss = 2.230, 
0.00 loss = 2.233, wps = 35115
0.10 loss = 2.231, wps = 44683
